Date,Open
2010/7/21,122.1
2010/7/22,120.3
2010/7/23,121.8
2010/7/26,120.1
2010/7/27,117.6
2010/7/28,118
2010/7/29,112.5
2010/7/30,116.5
2010/8/2,117.3
2010/8/3,118.3
2010/8/4,118.5
2010/8/5,117
2010/8/6,114.1
2010/8/9,112
2010/8/10,112.9
2010/8/11,113.75
2010/8/12,113
2010/8/13,113.4
2010/8/16,115.95
2010/8/17,111.9
2010/8/18,110.15
2010/8/19,110
2010/8/20,112
2010/8/23,114
2010/8/24,118.45
2010/8/25,116
2010/8/26,118.2
2010/8/27,119
2010/8/30,118.8
2010/8/31,117
2010/9/1,121.65
2010/9/2,124.2
2010/9/3,122.5
2010/9/6,123.25
2010/9/7,124
2010/9/8,128
2010/9/9,127.7
2010/9/13,128.5
2010/9/14,126.15
2010/9/15,124.85
2010/9/16,124
2010/9/17,122.8
2010/9/20,122.5
2010/9/21,124.55
2010/9/22,123
2010/9/23,121.6
2010/9/24,123.45
2010/9/27,126.35
2010/9/28,124.6
2010/9/29,123.3
2010/9/30,122.3
2010/10/1,121.3
2010/10/4,124.4
2010/10/5,125
2010/10/6,128
2010/10/7,130.1
2010/10/8,134.75
2010/10/11,134.5
2010/10/12,134.5
2010/10/13,131.9
2010/10/14,134.25
2010/10/15,134.85
2010/10/18,130.1
2010/10/19,131.5
2010/10/20,129.25
2010/10/21,129.8
2010/10/22,132
2010/10/25,129.95
2010/10/26,129.2
2010/10/27,128.2
2010/10/28,128.9
2010/10/29,127.65
2010/11/1,126
2010/11/2,125.5
2010/11/3,126
2010/11/4,124.7
2010/11/5,129.45
2010/11/8,126
2010/11/9,125.75
2010/11/10,129
2010/11/11,132.7
2010/11/12,127.5
2010/11/15,125.85
2010/11/16,124.75
2010/11/18,121.8
2010/11/19,119.8
2010/11/22,120.6
2010/11/23,116.1
2010/11/24,118.1
2010/11/25,118.5
2010/11/26,112.4
2010/11/29,113.4
2010/11/30,112.95
2010/12/1,113.5
2010/12/2,115.9
2010/12/3,116
2010/12/6,113.2
2010/12/7,115.6
2010/12/8,115
2010/12/9,115.9
2010/12/10,111.5
2010/12/13,114
2010/12/14,113.45
2010/12/15,114.8
2010/12/16,114.8
2010/12/20,115
2010/12/21,116.95
2010/12/22,116.8
2010/12/23,114
2010/12/24,112.8
2010/12/27,113
2010/12/28,110.8
2010/12/29,110.45
2010/12/30,110.5
2010/12/31,108.5
2011/1/3,109
2011/1/4,111.9
2011/1/5,113.25
2011/1/6,112.9
2011/1/7,112.1
2011/1/10,108.7
2011/1/11,104.55
2011/1/12,102.7
2011/1/13,103.8
2011/1/14,105.1
2011/1/17,105.3
2011/1/18,105.8
2011/1/19,105.05
2011/1/20,105.1
2011/1/21,106
2011/1/24,104.6
2011/1/25,107
2011/1/27,106.2
2011/1/28,106
2011/1/31,99.15
2011/2/1,101
2011/2/2,98.8
2011/2/3,97.5
2011/2/4,96.5
2011/2/7,97.7
2011/2/8,96
2011/2/9,93
2011/2/10,88.2
2011/2/11,88.75
2011/2/14,92.45
2011/2/15,95.35
2011/2/16,95.85
2011/2/17,95.8
2011/2/18,101.5
2011/2/21,95.4
2011/2/22,96
2011/2/23,96.7
2011/2/24,95.6
2011/2/25,88.5
2011/2/28,88
2011/3/1,89.8
2011/3/3,91
2011/3/4,90.3
2011/3/7,90
2011/3/8,89
2011/3/9,94.75
2011/3/10,95.9
2011/3/11,96.1
2011/3/14,102.6
2011/3/15,99.7
2011/3/16,99
