Date,Open,High,Low,Close,Quantity,PERatio
20101214,33.00,33.15,32.55,32.70,10613659,15.21
20101215,32.70,33.00,32.40,33.00,6890080,15.35
20101216,33.00,33.00,32.50,32.70,8840796,15.21
20101217,32.60,33.05,32.60,33.00,7757403,15.35
20101220,32.95,32.95,32.45,32.65,5773504,15.19
20101221,32.65,32.80,32.45,32.80,4758624,15.26
20101222,32.85,32.95,32.60,32.80,5757242,15.26
20101223,32.80,33.75,32.65,33.40,17393851,15.53
20101224,32.85,33.00,32.65,32.75,19078347,15.23
20101227,32.50,32.70,32.15,32.40,14742445,15.07
20101228,32.40,32.45,32.10,32.25,7479614,15.00
20101229,32.25,32.45,32.00,32.45,8461511,15.09
20101230,32.25,32.60,32.25,32.45,8724348,15.09
20101231,32.50,32.90,32.35,32.80,12603384,15.26
20110103,32.95,33.4,32.8,33.4,17962811,15.53
20110104,33.60,33.65,33.00,33.15,10168829,15.42
20110105,33.50,33.60,32.25,32.40,17142308,15.07
20110106,32.50,32.60,32.15,32.40,7436026,15.07
20110107,32.20,32.50,32.00,32.10,9802416,14.93
20110110,32.20,32.45,32.05,32.45,8911315,15.09
20110111,32.50,32.75,32.15,32.70,9330674,15.21
20110112,33.00,33.20,32.70,32.90,14908900,15.30
20110113,33.00,33.20,32.60,32.85,11982350,15.28
20110114,32.80,32.90,32.55,32.75,10458451,15.23
20110117,32.20,32.50,31.60,31.70,17558839,14.74
20110118,31.50,31.50,31.05,31.35,14104801,14.58
20110119,31.35,31.90,31.20,31.75,16822915,14.77
20110120,31.75,31.80,31.50,31.55,7638702,14.67
20110121,31.30,31.70,31.10,31.70,9728554,14.74
20110620,40.90,41.45,40.10,40.25,10058824,17.65
20110621,40.45,40.80,39.90,40.00,13702991,17.54
20110622,40.20,40.45,39.60,40.00,16103037,17.54
20110623,40.00,40.85,39.80,39.90,18859624,17.50
20110624,40.05,40.45,39.35,39.50,19346315,17.32
20110627,39.40,40.45,39.35,40.15,17617006,17.61
20110628,40.70,42.00,40.40,40.80,31616438,17.89
20110629,41.50,42.20,41.00,42.15,26094827,18.49
20110630,42.10,42.80,42.10,42.80,18280958,18.77
20110701,43.00,44.60,42.95,44.40,25900454,19.47
20110704,44.60,44.85,43.75,44.80,16486363,19.65
20110705,44.80,45.60,44.45,45.45,14714210,19.93
20110706,45.15,45.50,44.80,45.25,14383954,19.85
20110707,44.75,46.15,44.75,45.95,16210839,20.15
20110708,46.40,46.40,45.30,45.40,14153681,19.91
20110711,45.55,45.55,44.85,45.20,12202173,19.82
20110712,45.00,45.05,43.10,43.30,26139699,18.99
20110713,43.10,45.00,42.75,44.70,21957874,19.61
20110714,44.80,45.95,44.00,45.50,23912631,19.96
20110715,45.50,45.80,45.00,45.55,9220907,19.98
20110718,45.30,45.75,44.90,45.45,14112432,19.93
20110719,45.45,45.45,44.25,44.60,10378035,19.56
20110720,44.80,45.30,44.75,45.25,11097948,19.85
20110721,45.50,46.35,45.45,46.30,9916289,20.31
20110722,46.40,49.45,46.40,48.40,23309339,21.23
20110725,48.50,48.50,47.80,48.30,18907929,21.18
20110726,46.60,46.70,44.30,45.95,27023001,20.15
